xCa= 1 xC=0 xO=8 xMg=5 xCl=2
 xCalcite=4 xDolomite=5 xAq_gen=0

Time step: 0  Time, s: 0	dt = 10000[s]
Node	pH	mCa	mMg	mCl	nCal	nDol	AsDol	SIDol
20	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
21	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
22	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
23	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
24	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
25	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
26	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
27	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
28	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
29	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
30	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
31	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
32	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
33	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
34	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
35	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
36	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
37	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
38	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
39	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
40	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
41	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
42	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
43	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
44	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
45	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
46	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
47	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
48	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
49	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
50	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
51	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
52	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
53	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
54	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
55	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
56	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
57	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
58	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
59	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
